client_id,age_group,visits_month,trainer_hours,progress_score,subscription_months,churn_flag,normalization_group,comment
CLI-13-05-0063,46-60,3,7.13,66.01,24,1,N2,после корректировки
CLI-13-05-0064,46-60,3,3.97,54.28,31,1,N1,после корректировки
CLI-13-05-0065,18-25,9,2.96,32.93,27,0,N3,после корректировки
CLI-13-05-0066,26-35,2,1.41,51.5,10,0,N1,после корректировки
CLI-13-05-0067,26-35,14,10.76,7.53,34,0,N2,после корректировки
CLI-13-05-0068,26-35,21,4.68,60.17,3,1,N3,контрольная запись
CLI-13-05-0069,  46-60  ,13,7.15,82.06,12,0,N3,требует проверки
CLI-13-05-0070,18-25,29,19.31,34.86,32,0,N1,после корректировки
CLI-13-05-0071,26-35,28,8.37,29.33,26,0,N1,после корректировки
CLI-13-05-0072,36-45,8,21.24,83.15,10,0,N2,норма
CLI-13-05-0073,36-45,23,0.48,28.44,23,0,N1,норма
CLI-13-05-0074,26-35,5,8.82,86.42,15,0,N1,норма
CLI-13-05-0075,26-35,25,21.96,62.96,18,0,N2,после корректировки
CLI-13-05-0076,18-25,0,12.03,33.14,35,0,N2,
CLI-13-05-0077,46-60,21,8.31,80.71,10,0,N3,норма
CLI-13-05-0078,36-45,16,2.67,83.25,20,0,N1,требует проверки
CLI-13-05-0079,18-25,22,1191.3,38.65,30,0,N2,контрольная запись
CLI-13-05-0080,26-35,11,23.55,29.41,29,0,N1,требует проверки
CLI-13-05-0081,36-45,12,0.12,84.2,16,0,N3,
CLI-13-05-0082,36-45,10,18.69,7.4,15,0,N3,норма
CLI-13-05-0083,46-60,13,19.08,70.7,26,0,N2,требует проверки
CLI-13-05-0084,26-35,24,10.82,33.82,3,0,N1,требует проверки
CLI-13-05-0085,26-35,17,23.47,59.35,16,0,N3,после корректировки
CLI-13-05-0086,26-35,17,12.0,86.05,26,1,N2,требует проверки
CLI-13-05-0087,18-25 ,9,16.5,32.33,28,0,N1,требует проверки
CLI-13-05-0088,18-25,13,12.14,89.33,9,0,N3,после корректировки
CLI-13-05-0089,46-60,5,4.17,24.72,22,0,N3,
