client_id,age_group,visits_month,trainer_hours,progress_score,subscription_months,churn_flag,region,operator_id
CLI-13-01-0052,26-35,25,2.01,2.91,23,0,СЗФО,op_02
CLI-13-01-0053,26-35,15,12.39,13.8,30,0,СЗФО,op_02
CLI-13-01-0054,26-35,30,17.45,63.06,13,1,Санкт-Петербург,op_08
CLI-13-01-0055,46-60,2,10.94,29.76,2,0,ЦФО,op_01
CLI-13-01-0056,18-25,18,9.73,30.71,19,0,Москва,op_01
CLI-13-01-0057,26-35,1,23.75,36.44,36,0,ЦФО,op_11
CLI-13-01-0058,26-35,29,0.31,78.1,33,1,СЗФО,op_07
CLI-13-01-0059,36-45,28,14.76,80.28,29,0,Москва,op_06
CLI-13-01-0060,46-60,18,21.82,27.27,19,0,региональный контур,op_12
CLI-13-01-0061,46-60,5,3.27,75.28,24,1,СЗФО,op_04
CLI-13-01-0062,36-45,4,22.39,61.29,13,0,СЗФО,op_10
CLI-13-01-0063,26-35,22,17.37,51.77,6,0,Москва,op_04
CLI-13-01-0064,46-60,23,8.75,94.03,27,0,региональный контур,op_05
CLI-13-01-0065,26-35,5,2.14,30.77,9,0,Москва,op_03
CLI-13-01-0066,18-25,4,15.2,82.03,31,1,СЗФО,op_01
CLI-13-01-0067,18-25,6,23.32,65.05,5,0,ЦФО,op_11
CLI-13-01-0068,26-35,22,11.18,69.67,17,0,Москва,op_01
CLI-13-01-0069,26-35,14,19.58,24.71,5,0,ЦФО,op_11
CLI-13-01-0070,18-25,4,10.49,85.72,25,0,Москва,op_08
CLI-13-01-0071,36-45,29,11.17,30.69,34,0,СЗФО,op_07
CLI-13-01-0072,18-25,28,5.46,53.39,26,0,Москва,op_08
CLI-13-01-0073,46-60,9,22.88,10.2,11,0,СЗФО,op_11
CLI-13-01-0074,46-60,18,6.81,45.66,17,0,региональный контур,op_10
CLI-13-01-0075,18-25,6,9.4,97.9,23,0,СЗФО,op_04
CLI-13-01-0076,26-35,4,15.46 ед.,96.58,24,1,региональный контур,op_02
